Filename,SegmentIndex,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12
210101070_E_0_1.txt,0,0.389099,0.323909,-0.325073,0.598085,0.574565,0.469464,0.719098,0.465646,0.320838,0.128716,0.423139,0.000597265
210101070_E_0_1.txt,1,-0.00274063,0.127647,0.308754,-0.0529947,0.657539,0.417707,-0.0862641,0.622262,-0.313965,0.0512969,0.387345,0.0402677
210101070_E_0_1.txt,2,0.114181,0.387924,0.445423,1.34749,0.363905,-0.857928,-0.260636,-0.5303,0.278616,0.676197,-0.103972,-0.0727242
210101070_E_0_1.txt,3,-0.012839,-0.0704099,0.619555,1.01062,-0.0552846,0.416444,1.31885,0.910966,-0.340024,0.0472507,0.0824065,0.0377393
210101070_E_0_1.txt,4,0.0707977,0.0861574,1.22647,0.398447,0.241351,0.308054,0.634739,-0.390956,0.0157384,0.153074,0.330137,-0.0377181
210101070_E_0_1.txt,5,0.316585,0.403007,0.400245,-0.452412,-0.305311,-0.237413,0.679026,0.697166,-0.297448,0.804736,0.142662,-0.0148763
210101070_E_0_1.txt,6,0.246234,0.312852,0.231964,-0.201946,0.671291,0.722955,-1.08197,0.615125,-0.0775015,0.309256,-0.0599785,0.0568204
210101070_E_0_1.txt,7,-0.0134638,0.374522,-0.270751,0.00695135,-0.928681,0.259965,0.465706,-0.0489476,-0.181427,-0.156596,0.0553676,0.124888
210101070_E_0_1.txt,8,0.186922,0.0853603,0.0388053,-0.230169,-0.149174,0.297467,0.31902,-0.0529029,0.0240157,0.178661,0.0980972,-0.0370954
210101070_E_0_1.txt,9,-0.0327615,0.923943,0.190134,-0.0854521,0.732516,1.28558,-0.932824,0.207748,0.379409,0.372578,0.37735,0.0365302
210101070_E_0_1.txt,10,0.0697859,0.316421,-0.060684,0.605526,-0.624922,0.039161,0.0990961,-0.138018,1.05719,0.177683,0.101686,-0.057732
210101070_E_0_1.txt,11,0.177852,-0.26047,-0.28677,0.716723,0.465756,0.388428,0.968799,-0.495548,0.717595,0.505164,0.0604,0.069032
210101070_E_0_1.txt,12,0.420781,-0.0503988,1.15647,-0.625144,0.0301199,-0.191223,0.651297,-0.848035,0.336208,0.371936,0.0585516,0.0554582
210101070_E_0_1.txt,13,0.226643,-0.168061,0.17599,0.245486,0.850785,0.716967,0.442609,0.562885,0.190927,-0.199282,0.363087,0.154025
